question_id,strong_win_rate
81,0.7380933165550232
82,0.7031134963035583
83,0.8073474168777466
84,0.7823846936225891
85,0.7639504075050354
86,0.7535948157310486
87,0.7339176535606384
88,0.7847737073898315
89,0.8591053485870361
90,0.7703991532325745
91,0.8648077249526978
92,0.787220299243927
93,0.729341447353363
94,0.7320416569709778
95,0.7213649153709412
96,0.8255056142807007
97,0.747319221496582
98,0.7357329726219177
99,0.7589186429977417
100,0.7908706068992615
101,0.7589899897575378
102,0.7307068705558777
103,0.7101162672042847
104,0.5718364119529724
105,0.700657308101654
106,0.766925573348999
107,0.6922380924224854
108,0.7154557108879089
109,0.7085942625999451
110,0.6745601892471313
111,0.6375325918197632
112,0.8237693309783936
113,0.720862627029419
114,0.7239740490913391
115,0.7140809893608093
116,0.7049115300178528
117,0.6220134496688843
118,0.7101102471351624
119,0.7111877799034119
120,0.6816657185554504
121,0.6876391172409058
122,0.7116500735282898
123,0.8199247717857361
124,0.6712780594825745
125,0.7178675532341003
126,0.6885535717010498
127,0.7218342423439026
128,0.6300547122955322
129,0.6956990957260132
130,0.7462074756622314
131,0.7093334197998047
132,0.7624692916870117
133,0.680439829826355
134,0.7068312764167786
135,0.7727096080780029
136,0.6669729351997375
137,0.8416584134101868
138,0.7207611799240112
139,0.6800196170806885
140,0.6998721361160278
141,0.7494401931762695
142,0.6724277138710022
143,0.6658574342727661
144,0.7241736650466919
145,0.6285722255706787
146,0.7242978811264038
147,0.8154085278511047
148,0.7565050721168518
149,0.7947569489479065
150,0.7597202658653259
151,0.7536917924880981
152,0.6673744320869446
153,0.760103166103363
154,0.7231411337852478
155,0.7930400371551514
156,0.8001663684844971
157,0.6837400197982788
158,0.6901047825813293
159,0.7889572978019714
160,0.7444872856140137
